	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP103470	1	85055	49.999412145082594	4dc52b1a498606efb0b3081efba5b619	IncI-gamma/K1	CP003290	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	LN890525	0.00420918	Salmonella enterica subsp. enterica serovar Weltevreden	AA474	AI611	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP091890	1	77272	33.99549642820168	e61fdffad3e873d7a4693232508eee14	rep_cluster_980	AB374546	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP040897	0.0109136	Enterococcus faecalis	AB530	AK348	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP054417	1	11194	34.786492763980704	79d048d173ef9a6eb2fffa8584a72eda	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040088	0.000239895	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP074044	1	44800	53.04241071428572	9d00959f2ee354cae369510a2ee4bff2	IncFIA,IncFIC	000136__AP014877_00014,AY458016	MOBF	CP026812_00205	-	-	-	-	mobilizable	KX246267	0.035505	Escherichia coli	AA323	AI214	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP098028	1	55867	34.084522168722145	461cf51c9902dc6f5503c8b988f3bf54	rep_cluster_976	002460__CP015884	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	AP018544	0.0255655	Enterococcus faecalis	AE311	AO067	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP085297	1	69496	33.4508460918614	2eb39529d89d4a20776f687b93323920	rep_cluster_180	001222__CP008815_00027	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP042215	0.0133059	Enterococcus faecalis	AB530	AK349	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103712	1	81007	50.94374560223191	88a7138de84e9fbf1c2ffd0418520bf0	IncFIA,IncFIC,IncFII	MK878891_00042,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017630_00031,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,NC_019072_00073	MOBF	NC_010600	conjugative	CP027537	0.0204789	Escherichia coli	AA171	AH826	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP102854	1	233164	45.8732909025407	41ff2d1bd15e9683d3f13de1fc1f29a2	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00200,NC_005211_00207,NC_005211_00012	MOBH	NC_015864	conjugative	KT334335	0.00265838	Salmonella enterica subsp. enterica serovar Typhimurium	AA738	AJ047	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
NZ_CP062328	1	20730	28.374336710082005	c461865eb07e21309cca20db24927502	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000119496	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103513	1	230429	50.13040893290341	8bc2c6eb7c48e4c0819c7a4813e25c82	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP025081	0.000855821	Klebsiella pneumoniae	AA406	AI454	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP094444	1	48552	29.636266271214367	f402a47e999f56183f9945f4a1831fe8	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBP	KM007159	mobilizable	CP031887	0.0384495	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102079	1	137567	51.20777512048674	36dadd16958fab450dd0a1dd1853ae5d	IncFIA,IncFII,rep_cluster_2183	AF250878,000129__CP018340,CP033468_00001	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	MG736312	0.017359	Klebsiella pneumoniae	AA440	AI513	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 20547789; 19897651; 24247128; 20851899; 22511964
NZ_CP076269	1	88268	49.69751212217338	133bf42e6f0ba188da32e8941391bcae	IncFIA,IncFIB,IncFII	CP022610_00144,000095__NZ_CP014273_00094,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	CP011496	0.0248413	Escherichia coli	AA304	AI157	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP101880	1	68908	51.67614790735473	17705a7d246144d2de1757a08b34ffa8	IncFIA,IncFII	MK878891_00042,LS992172_00069	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	KX579977	conjugative	CP033881	0.0199514	Escherichia coli	AA336	AI265	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP076806	1	11204	32.78293466619065	370efa4f8703b09623ff310d377ec9ec	rep_cluster_1226	000523__LT594096_00001	-	-	-	-	-	-	non-mobilizable	CP040086	0.0327227	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103634	1	151676	51.46100899285319	980d7852e1e566c321265ae5bde84b56	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000096__NC_019117_00097,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP022227	0.00218918	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP087353	1	11084	35.348249729339585	3583b538855b38b2aa8ccfe99c23f3bc	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	KR535993	0.0031121	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP102245	1	170322	48.64961660854147	50f847ef28f2e7d543a6c37e2ee5e13c	IncFIB	000095__NZ_CP014273_00094	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP019456	0.0192445	Escherichia coli	AA321	AI210	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP102838	1	135440	53.29149438865918	b68b0f250c97c334c7bacdd8d65a0925	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	0.000336872	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP075720	1	60485	54.496156071753326	9a8e7f584efe671ace7232942c952fab	IncY	000230__CP009168_00001	-	-	-	-	MOBF	NZ_CP016035	mobilizable	KX960110	0.0242142	Escherichia coli	AA037	AH613	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
NZ_CP073927	1	118380	51.81956411556006	3e1dfbd5598e069aec4e252129ad64ef	IncFIA,IncFIA,IncFIB,IncFIC	000136__AP014877_00014,AF250878,000095__NZ_CP014273_00094,AP001918	MOBF	NC_011980_00044	-	-	-	-	mobilizable	CP027130	0.00993767	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP102190	1	87177	51.24402078529887	0a9a619bcfa16d3c178b935a8034d0f2	IncFIA,IncR	MH263653_00001,000204__CP008701_00115	-	-	MPF_F	NC_014312_00116	-	-	non-mobilizable	CP032166	0.0208145	Klebsiella pneumoniae	AA032	AH594	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 23711894; 24247128; 20851899; 22511964
NZ_CP101775	1	134477	53.29387181451103	b231af135a36740ff7bfe627110f095f	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	0.000264084	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP097050	1	47498	34.88357404522296	609345d9d858e7a0960e5f86fef19258	rep_cluster_1027	AB563188	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP042217	0.015943	Enterococcus faecalis	AE311	AO066	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP077829	1	5602	33.30953230988933	7ff0ead8300bad5beeaa4edc0cc26d3c	rep_cluster_1172	000453__KU549174_00001	-	-	-	-	-	-	non-mobilizable	CP026748	0.0	Acinetobacter baumannii	AB827	AK775	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP090344	1	189486	50.48816271386804	cce50e1a63eb6f4a902bc173ba3f09f9	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP034124	0.0010072	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103705	1	165827	51.48859956460649	d7f2d9e5a323cc3ad8613e7fa5d86690	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP027130	0.000557238	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP097007	1	59599	34.99219785566872	d0dc2fa722fdfb795dd294c5eaa7f19b	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0175349	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Bacteroidetes,Proteobacteria,Firmicutes	-	-	-
NZ_CP087306	1	8731	34.37177871950521	9e57a4465588bd26f38db1b8f1d462ef	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	4.76906e-05	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP062385	1	20730	28.374336710082005	3d686f48507a753fe4480f11d54040e5	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000191626	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103546	1	98998	49.89595749409079	2917b67bfd487fa81d112bcd743f77d4	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	JN253636	conjugative	CP016516	4.76906e-05	Salmonella enterica subsp. enterica serovar Heidelberg	AA474	AI598	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP092053	1	13162	28.08083877830117	17543b22d257e96d3c5854852d005794	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	NC_008459	mobilizable	CP030517	0.00181236	Staphylococcus aureus	AA840	AJ230	class	Bacilli	class	Bacilli	-	-	-
NZ_CP087326	1	113509	39.74398505845352	f5ec6ce4e1b45efbae483c73842b1f24	rep_cluster_639	002092__CU459140_00002	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_ALIG01000010_00048	-	-	-	-	mobilizable	CP033769	0.0128243	Acinetobacter baumannii	AB408	AK177	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP076275	1	153041	47.318038956880834	b618804b48a53a59d61da00f48a02716	IncFIA,IncFIA,IncFIB	CP022610_00144,AF250878,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP011496	0.0370638	Escherichia coli	AA304	AI157	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP064366	1	27489	30.68863909200044	d62ed15b7a16395f6d770fe6fbf0bfd2	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_2214	000261__GQ900456,CP000737,AP003089,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP040999	0.0	Staphylococcus aureus	AA410	AI460	class	Bacilli	class	Bacilli	-	-	-
NZ_CP092545	1	78567	34.59849555156745	f7eabb2f8c26f0ebbae5d8486844f516	rep_cluster_1763,rep_cluster_185,rep_cluster_889,rep_cluster_935	001182__KY595965_00001,001274__DQ198088_00024,002366__KY595966_00031,002420__CP003354_00001	-	-	-	-	-	-	non-mobilizable	CP040708	0.0124	Enterococcus faecium	AB173	AJ809	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP093934	1	34990	28.74821377536439	ac178e7dbe967ef00c72ffc803b18c61	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	NC_010077	0.000458924	Staphylococcus aureus	AB628	AK482	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP062397	1	39353	27.74375524102356	16988a71409ccb89d5f2e7c398741970	rep_cluster_1017,rep_cluster_1215,rep_cluster_155,rep_cluster_2176	000261__GQ900456,HF937104,000915__CP001784_00003,AP003089	-	-	-	-	MOB_unknown	LN890519	mobilizable	CP022683	0.000264084	Staphylococcus aureus	AA837	AJ223	class	Bacilli	class	Bacilli	-	-	-
NZ_CP091329	1	22388	34.7820260854029	ce8969adb1ef6e205037cadc63e17435	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.000167546	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP062345	1	17329	28.36285994575567	f9471db175dd23f968634fe009c8ac83	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOB_unknown	LN890519	mobilizable	CP012975	0.000191626	Staphylococcus aureus	AA069	AH668	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103655	1	75285	53.12479245533639	804cc9d27e1ad1017c605544932b29d3	IncFIA,rep_cluster_1418	AF250878,000759__NC_013950_00034	-	-	-	-	MOBF	NZ_CP016035	mobilizable	CP011999	0.020747	Klebsiella pneumoniae	AA025	AH580	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 16940067; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP030153	1	152677	49.96037386115787	49818663fe3d9e1af9c6acc0d09399eb	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF,MOBF	NC_017627_00068,NC_015599_00019	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	MK416151	0.0107836	Escherichia coli	AA175	AH849	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
NZ_CP103563	1	241084	52.27016309668	dadeccfafd51fb0f01a7f236352e97f6	IncFIA,IncFIB,IncFIC,rep_cluster_2131	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_008460_00107,NC_019094_00068,NC_008460_00097,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP023845	0.0246043	Escherichia coli	AA170	AH820	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP076496	1	53047	34.482628612362625	a20c8eefb18094e7e39e4135682b1623	rep_cluster_180	001222__CP008815_00027	MOBP,MOBP	NC_006827_00032,NC_013533_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP022485	0.0365754	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP090345	1	132507	53.300580346698666	03e8803af977dfe187b75c38b1c4336a	IncFIA,IncR,IncU	MH263653_00001,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	0.000680979	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP103480	1	143132	52.526339323142274	8bd6c0dd82cc91628ecec14c702b195d	IncFIA,IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,MK878891_00042,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP029575	0.00759618	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP096715	1	44752	34.769395781194135	38c054c754f7ab4b645f67df0c1c1c1f	rep_cluster_1226	000523__LT594096_00001	MOBQ,MOBQ,MOBQ	NC_006877_00013,CP042207_00010,NZ_AFDA02000008_00004	-	-	-	-	mobilizable	CP040086	0.00227104	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP097386	1	167179	50.590684236656514	8c3c6edc88168b836464865dd50a8d3d	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	MK649822	0.00291212	Klebsiella pneumoniae	AA406	AI451	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP062351	1	16691	28.66215325624588	3bfd4bf46a70582e33adebcc9585902b	rep_cluster_1215	CP003193	-	-	-	-	-	-	non-mobilizable	CP024438	0.0496454	Staphylococcus epidermidis	AA072	AH673	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP086559	1	48881	35.40434933818866	f74201e29a27710293fbad9cb68b1fe1	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_006827_00028,NC_004671_00018	-	-	conjugative	MG765452	0.0	Enterococcus faecalis	AB528	AK340	genus	Enterococcus	genus	Enterococcus	-	-	-
